Name,general_data_name,model_representation_fn_path,model_composition_fn_path,general_train_rule,general_date,train_valid_loss,train_test_accuracy,train_loss,train_test_loss,train_accuracy,train_valid_accuracy
supervised/supervised_logic_complete_119,comp_r10_n100_ov,codes.model.gcn.gcn.RepresentationGCNEncoder,codes.model.rgcn.rgcn.CompositionRGCNEncoder,rule_19,2020-01-29 13:45,0.3897987678647042,0.7285829782485962,0.03732482325285673,2.8858903646469116,0.991015625,0.9066540896892548
supervised/supervised_logic_complete_74,comp_r10_n100_ov,codes.model.gcn.gcn.RepresentationGCNEncoder,codes.model.gat.edge_gat.GatedGatEncoder,rule_12,2020-01-29 14:14,0.045837100595235825,0.7264614701271057,0.02479121768847108,1.439355880022049,0.992405790090561,0.9787850230932236
supervised/supervised_logic_complete_282,comp_r10_n100_ov,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,codes.model.gat.edge_gat.GatedGatEncoder,rule_47,2020-01-29 15:39,0.09788014832884072,0.7229256480932236,0.0220384961925447,1.3794512450695038,0.9951401650905608,0.9732287228107452
supervised/supervised_logic_complete_163,comp_r10_n100_ov,codes.model.models.Param,codes.model.gat.edge_gat.GatedGatEncoder,rule_27,2020-01-29 14:27,0.05977731570601463,0.7224205285310745,0.011456141155213118,1.6354978680610657,0.9978515625,0.9909078627824784
supervised/supervised_logic_complete_232,comp_r10_n100_ov,codes.model.models.Param,codes.model.rgcn.rgcn.CompositionRGCNEncoder,rule_38,2020-01-29 15:10,0.13087309524416924,0.719221442937851,0.07563128769397735,1.7929079234600067,0.98125,0.9495555013418198
supervised/supervised_logic_complete_226,comp_r10_n100_ov,codes.model.models.Param,codes.model.rgcn.rgcn.CompositionRGCNEncoder,rule_37,2020-01-29 15:05,0.24985572323203087,0.7163591086864471,0.09941569939255716,1.2048903107643127,0.974827665090561,0.918978989124298
supervised/supervised_logic_complete_294,comp_r10_n100_ov,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,codes.model.gat.edge_gat.GatedGatEncoder,rule_49,2020-01-29 16:15,0.025368567439727485,0.7144396603107452,0.009446144476532936,1.0205429643392565,0.9978745400905608,0.9930630326271056
supervised/supervised_logic_complete_164,comp_r10_n100_ov,codes.model.gcn.gcn.RepresentationGCNEncoder,codes.model.gat.edge_gat.GatedGatEncoder,rule_27,2020-01-29 14:32,0.05046754237264395,0.7139008641242981,0.016981377359479667,1.7190660238265991,0.994921875,0.9900323301553726
supervised/supervised_logic_complete_109,comp_r10_n100_ov,codes.model.models.Param,codes.model.gat.edge_gat.GatedGatEncoder,rule_18,2020-01-29 13:45,0.051426112186163664,0.7132947146892548,0.04244311591610313,1.67347851395607,0.987545955181122,0.9783135801553726
supervised/supervised_logic_complete_162,comp_r10_n100_ov,codes.model.gat.sig_edge_gat.GatedNodeGatEncoder,codes.model.gat.edge_gat.GatedGatEncoder,rule_27,2020-01-29 14:26,0.061587581876665354,0.7131263464689255,0.011548097035847605,1.8409726321697235,0.9978515625,0.9898302853107452
